Company_Name,Extracted_Links,Extracted_Text
ADANIENT LTD,"1. https://hdfcsky.com/news/adani-group-secures-approval-to-acquire-jaiprakash-associates#:~:text=Adani%20Gets%20CCI%20Nod%20to,Insolvency%20and%20Bankruptcy%20Code%2C%202016.
2. https://www.outlookbusiness.com/corporate/adani-group-ebitda-crosses-rs-90000-cr-in-12-months-to-june#:~:text=Adani%20group%20ebitda%20crosses%20rs,it%20said%20in%20a%20statement.
3. https://www.angelone.in/news/market-updates/adani-enterprises-gets-cci-approval-to-acquire-jaiprakash-associates#:~:text=The%20Competition%20Commission%20of%20India%20(CCI)%20has%20approved%20the%20proposed,to%20100%25%20shareholding%20in%20JAL.
4. https://www.angelone.in/news/share-market/adani-group-recent-acquisitions-across-power-ports-and-cement-in-h1-2025#:~:text=A%20key%20development%20to%20watch%20will%20be,the%20real%20estate%20and%20infrastructure%20space%20further.
5. https://m.economictimes.com/markets/stocks/news/adani-group-stocks-in-focus-as-cci-approves-acquisition-of-jaiprakash-associates/articleshow/123554802.cms#:~:text=According%20to%20CCI's%20official%20statement%2C%20the%20approval,through%20CCI's%20social%20media%20handle%20on%20X.","Two substantial corporate developments for ADANIENT Ltd (Adani Enterprises Ltd) were reported on August 28, 2025: the approval to acquire Jaiprakash Associates and a milestone for the Adani Portfolio's TTM EBITDA .

Acquisition of Jaiprakash Associates

Adani Portfolio reaches EBITDA milestone

Approval by CCI: The Competition Commission of India (CCI) approved the Adani Group's acquisition of up to a 100% shareholding of Jaiprakash Associates Ltd (JAL).

Entities involved: The acquisition will be carried out by Adani Enterprises Ltd (AEL) and Adani Infrastructure and Developers Pvt Ltd (AIDPL).

Background: The deal is part of the corporate insolvency resolution process for JAL, which entered insolvency on June 3, 2024, after defaulting on loans.

Strategic impact: The move is viewed as a significant step in Adani's expansion within the infrastructure and real estate sectors.

Record performance: The Adani Group's consolidated trailing twelve-month (TTM) EBITDA crossed the ₹90,000 crore milestone.

Financials: The TTM EBITDA reached ₹90,572 crore for the period of July 2024 to June 2025.

Performance drivers: The growth was attributed to strong performances in core infrastructure, logistics, and green energy businesses, along with emerging airport operations."
ADANIPORTS LTD,"1. https://www.ndtvprofit.com/markets/adani-portfolio-q1-review-ebitda-hits-all-time-high-ambuja-cement-adani-ports-among-growth-drivers#:~:text=28%20Aug%202025%2C%2010:49,overall%20volume%20grew%20by%2016%25.
2. https://www.thehindu.com/business/Industry/adani-portfolios-earnings-before-interest-taxes-depreciation-and-amortization-rises-10-yoy-to-90572-crore/article69983263.ece#:~:text=The%20Hindu%20subscription-,We%20found%20a%20few%20errors:,Read%20Comments%200
3. https://www.ndtvprofit.com/markets/adani-ports-cantor-fitzgerald-begins-coverage-with-28-percent-target-price-hike#:~:text=Adanio%20Ports:%20Financials%20&%20Valuation,company%20maintaining%20low%20net%20leverage.
4. https://www.ndtvprofit.com/research-reports/adani-ports-can-rally-29-says-motilal-oswal-maintaining-buy-check-target-price#:~:text=28%20Aug%202025%2C%2008:57,alongside%20its%20dominant%20ports%20franchise.","On August 28, 2025, Adani Ports and Special Economic Zone (APSEZ) was featured in reports detailing its parent company's quarterly results .

Adani Group's overall financial performance

Specific contribution from APSEZ

Market analyst reports

The Adani Group, which includes APSEZ, announced its Q1 FY26 financial results on August 28, 2025.

The group reported its Earnings Before Interest, Taxes, Depreciation, and Amortization (EBITDA) crossed the ₹90,000 crore milestone on a trailing twelve-month (TTM) basis for the first time.

Group EBITDA for the first quarter of FY26 was a record ₹23,793 crore, a 3.3% increase year-on-year.

APSEZ was identified as a key contributor to the Adani Group's strong performance.

APSEZ saw an 11% increase in cargo volumes during the quarter, reaching 120.6 million metric tonnes (MMT).

This strong performance was driven by a 19% rise in container volumes.

On the same day,NDTV Profithighlighted a Motilal Oswal report that maintained a ""Buy"" rating for Adani Ports, citing visible growth through capacity enhancements, infrastructure projects, and acquisitions. The report projected sustained growth beyond FY26.

On the same day,NDTV Profithighlighted a Motilal Oswal report that maintained a ""Buy"" rating for Adani Ports, citing visible growth through capacity enhancements, infrastructure projects, and acquisitions"
APOLLOHOSP LTD,"1. https://www.angelone.in/live-blog/apollo-hospitals-enterprise-ltd-28-aug-2025-508869#:~:text=Apollo%20Hospitals%20Enterprise%20Ltd%20Stock%20Slides%20Today,28%2C%202025%2012:16%20PM
2. https://economictimes.indiatimes.com/apollo-hospitals-enterprise-ltd/stocksupdate/companyid-62.cms#:~:text=Market%20Watch,%2C%202025%2C%2004:51PM%20IST
3. https://economictimes.indiatimes.com/apollo-hospitals-enterprise-ltd/stocksupdate/companyid-62.cms#:~:text=15%20healthcare%20stocks%20with%20an,Mutual%20Fund%20also%20purchased%20shares.
4. https://www.plindia.com/ResReport/APHS-14-8-25-PL.pdf
5. https://www.thehindu.com/business/Industry/apollo-hospitals-shares-worth-1489-crore-sold-via-block-deal/article69963602.ece#:~:text=Shares%20in%20Apollo%20Hospitals%20were%20offloaded%20in,data%20showed%20on%20Friday%20(August%2022%2C%202025).
6. https://www.business-standard.com/companies/news/suneeta-reddy-to-sell-stake-worth-rs-1395-crore-in-apollo-hospitals-125082101646_1.html#:~:text=Morgan%20Stanley%20has%20been%20appointed%20as%20the,)%20will%20reduce%20to%202.11%20per%20cent.","No significant corporate developments for APOLLOHOSP Ltd on August 28, 2025 . News reports from that day focused on routine stock price movements and market commentary.

The most recent substantial corporate news involved the following events, which occurred before August 28, 2025:

On August 22, 2025, a block deal occurred in which promoter Suneetha Reddy sold a stake in the company. Marquee investors, including Abu Dhabi Investment Authority and T. Rowe Price, purchased shares.

Around August 24, 2025, stock analysts reiterated their positive outlook on the Indian hospital sector, including APOLLOHOSP, based on strong demand and expansion plans.

On August 14, 2025, Prabhudas Lilladher published a research report that included updates from the company's Q1 FY24/25 earnings call."
ASIANPAINT LTD,"1. https://www.angelone.in/live-blog/asian-paints-ltd-28-aug-2025-500820#:~:text=Live%20Updates:%20Asian%20Paints%20Ltd,28%2C%202025%201:15%20PM
2. https://www.angelone.in/live-blog/asian-paints-ltd-28-aug-2025-500820#:~:text=Stock%20Rallies%200.06%25,28%2C%202025%202:15%20PM
3. https://www.angelone.in/live-blog/asian-paints-ltd-28-aug-2025-500820#:~:text=Solid%20Jump%20for%20Asian%20Paints,28%2C%202025%209:30%20AM
4. https://www.editorji.com/business-news/markets/nse-nifty-50-top-gainers-what-are-the-5-biggest-stock-gainers-today-august-28-2025-1756377376061#:~:text=Analysis%20for%20Asian%20Paints%20%2D%20August,RSI%20Analysis
5. https://www.moneycontrol.com/news/business/stocks/nifty-top-gainers-today-asian-paints-hero-motocorp-stocks-lead-on-nifty-50-index-alpha-article-13494846.html#:~:text=The%20revenue%20for%20SBI%20Life,percent%20in%20the%20same%20period.
6. https://economictimes.indiatimes.com/asian-paints-ltd/stocksupdate/companyid-14034.cms#:~:text=USD/INR88.200.57,in%20India's%20block%20deal%20system.","No significant corporate developments for ASIANPAINT Ltd on . Corporate news on this date was limited to routine market commentary and share price movements.

Share price movement:Asian Paints' share price fluctuated throughout the day. Multiple sources reported marginal gains and losses, reflecting typical market volatility rather than fundamental corporate shifts.

Nifty 50 performance:Asian Paints was mentioned as a top gainer on the Nifty 50 on August 28, 2025, but this was a market-wide trend, not a company-specific event.

Market sentiment:The stock's performance was also discussed in the context of broader market trends and moving averages, with no mention of significant corporate announcements."
AXISBANK LTD,"1. https://www.angelone.in/live-blog/axis-bank-ltd-28-aug-2025-532215#:~:text=Live%20Market%20Data:%20Axis%20Bank%20Ltd%20Share%20Price%20Down%20%2D0.05,28%2C%202025%2011:00%20AM
2. https://www.angelone.in/live-blog/axis-bank-ltd-28-aug-2025-532215#:~:text=Axis%20Bank%20Ltd%20Live%20Updates,28%2C%202025%202:00%20PM
3. https://www.axisbank.com/docs/default-source/press-releases/axis-bank-unveils-03-03-25.pdf
4. https://www.axisbank.com/about-us/press-releases/axis-bank-unveils-one-axis-csr-vision-at-abhisaran-2025-pledges-to-empower-2-million-more-households#:~:text=Axis%20Bank%2C%20one%20of%20the,%2D%20India%2C%20HSBC;%20Dr.","No significant corporate developments for AXISBANK Ltd on August 28, 2025 . Search results for this date reveal only routine market updates and price movements, which are excluded based on the search criteria. Previously published, more substantial news includes corporate social responsibility (CSR) initiatives announced in March 2025."
BAJAJ-AUTO LTD,"1. https://www.ndtvprofit.com/auto/bajaj-autos-ev-market-share-halves-in-aug-ather-energy-makes-strong-inroads#:~:text=Bajaj%20Auto%20Vs%20Ather%20Energy,boosting%20the%20total%20gross%20margins.
2. https://www.aljazeera.com/economy/2025/8/28/how-rare-earth-shortages-are-stalling-indias-burgeoning-ev-sector#:~:text=Ghislaine%20Maxwell%20praises%20Trump%20in,impact%20on%20the%20automobile%20sector%E2%80%9D.
3. https://economictimes.indiatimes.com/bajaj-auto-ltd/stocksupdate/companyid-21430.cms#:~:text=GST%20cut:%20Jefferies%20upgrades%20Hero,scheduled%20on%2002%20September%202025.
4. https://ackodrive.com/news/bajaj-chetak-launch-plans-affected-amid-rare-earth-magnet-crisis/#:~:text=Bajaj%20(%20Bajaj%20Auto%20)%20Chetak%20Launch,shortages%20of%20rare%20earth%20magnets%20from%20China.
5. https://www.business-standard.com/companies/news/bajaj-auto-cuts-e-2w-e-3w-production-targets-amid-rare-earth-shortage-125080601768_1.html#:~:text=Listen%20to%20This%20Article%20China's%20curb%20on,two%2Dwheeler%20production%20plan%20for%20August%20and%20September.
6. https://www.angelone.in/news/market-updates/rare-earth-magnet-shortage-impacts-bajaj-ather-tvs-production-output-while-ola-electric-leads#:~:text=The%20ongoing%204th%2Dmonth%20supply%20crunch%20of%20heavy,by%2050%25%2C%20significantly%20impacting%20its%20Chetak%20models.
7. https://testbook.com/ias-preparation/upsc-current-affairs-for-28-august-2025#:~:text=UPSC%20Current%20Affairs%2028%20August%202025%20%2D,of%20New%20World%20Screwworm%20since%20the%201960s.","On August 28, 2025, Bajaj Auto Ltd. was reported to be experiencing a significant production cut of its Chetak electric scooter due to a shortage of rare-earth metals . The company's market share in the electric two-wheeler segment subsequently halved in August.

Production cut of Chetak electric scooter: AnAl Jazeeraarticle, published on August 28, detailed how a global shortage of rare-earth metals forced Bajaj Auto to significantly reduce the production of its Chetak electric scooter. The article states that Bajaj produced just 10,824 Chetak units in July, nearly halving its output compared to the 20,384 units made in the same period last year.

Impact on market share: This production issue contributed to a considerable drop in Bajaj Auto's electric vehicle (EV) market share. A report published later, on September 1, indicates that the company's EV market share declined from 22% in July to 11% in August, moving it to the fifth spot in the segment. The report also mentions that rival Ather Energy saw a market share increase during the same period.

Analysts' commentary on GST: A report from Jefferies on August 28 included commentary on the potential impact of a possible Goods and Services Tax (GST) reduction on the automotive sector. While the report did not focus specifically on Bajaj Auto, it noted that two-wheelers and small passenger vehicles would likely benefit most from such a cut."
BAJAJFINSV LTD,"1. https://economictimes.indiatimes.com/bajaj-finserv-ltd/stocksupdate/companyid-21426.cms#:~:text=Indian%20benchmark%20indices%20Sensex%20and,Reserve's%20symposium%20regarding%20interest%20rates.
2. https://economictimes.indiatimes.com/bajaj-finserv-ltd/stocksupdate/companyid-21426.cms
3. https://munafasutra.com/nse/optionsChart/BAJAJFINSV/CE/1600.00/2025-08-28#:~:text=1900.00,below%20to%20switch%20between%20charts
4. https://www.businesswireindia.com/vivo-t4r-5g-slim-design-powerful-performance-and-easy-financing-with-bajaj-finserv-96258.html#:~:text=Similar%20News,Treasury%20and%20FX%20Management%20Solutions","No significant corporate developments for BAJAJFINSV Ltd on . News from around that date was related to routine matters such as analyst mentions, share price movements, and minor subsidiary incorporations. No announcements or press releases indicated any substantial strategic shifts, major acquisitions, or significant changes in business operations."
BAJFINANCE LTD,"1. https://www.angelone.in/live-blog/bajaj-finance-ltd-28-aug-2025-500034#:~:text=Today's%20Trading%20Session:%20Bajaj%20Finance%20Ltd%20Stock%20Soars%20by%200.27,28%2C%202025%2011:15%20AM
2. https://www.angelone.in/live-blog/bajaj-finance-ltd-28-aug-2025-500034#:~:text=Bajaj%20Finance%20Ltd%20Remains%20Flat,28%2C%202025%202:15%20PM
3. https://blinkx.in/stocks/bajaj-finance-ltd-2025-08-28-900-pe#:~:text=900%20Put%20Option?-,The%20Bajaj%20Finance%20Ltd%2028%20August%202025%20900%20Put%20Option,relative%20to%20the%20strike%20price.","No significant corporate developments for BAJFINANCE Ltd on . Market news on this date covered only routine price movements, live stock updates, and futures and options trading activity. There were no reports of substantial corporate developments or major business updates."
BEL LTD,"1. https://scanx.trade/stock-market-news/corporate-actions/bel-set-to-benefit-from-potential-gst-rate-cut-on-drones/18263226#:~:text=47%25-,Bharat%20Electronics,New%20Orders%20Jul%2024%2C%202025
2. https://www.etnownews.com/markets/bel-dividend-record-date-alert-defence-psu-announces-book-closure-date-for-90-payout-article-152422436#:~:text=The%2071st%20Annual%20General%20Meeting,Bharat%20Electronics%20Limited
3. https://economictimes.indiatimes.com/bharat-electronics-ltd/stocksupdate/companyid-11945.cms#:~:text=USD/INR88.200.57,to%20begin%20in%20February%202024.","Substantial corporate developments for BEL Ltd on August 28, 2025, primarily involved shareholder-related actions, with no major operational or business strategy updates reported for that specific day .

While no other significant announcements were made by BEL on August 28, other corporate news was reported earlier in the month:

Annual General Meeting (AGM):BEL held its 71st Annual General Meeting on August 28.

Final dividend payout:The results of the AGM included the approval of a previously recommended final dividend of ₹0.90 per equity share for the 2024-2025 financial year.

AGM proceedings:The company filed the proceedings and the scrutinizer's report for the meeting with the exchanges.

August 5:BEL was highlighted as a potential beneficiary of large BrahMos missile orders from the Indian Air Force and Navy.

August 1:The company appointed three new executive directors."
BHARTIARTL LTD,1. https://techafricanews.com/2025/08/28/airtel-uganda-declares-ushs-174-billion-interim-dividend/#:~:text=Airtel%20Uganda%20Declares%20Ushs%20174%20Billion%20Interim%20Dividend%20%2D%20TechAfrica%20News,"According to web searches, Bharti Airtel's subsidiary, Airtel Uganda, announced a significant interim dividend on August 28, 2025 . No other substantial corporate developments for BHARTIARTL Ltd were found from that specific date.

Airtel Uganda declares interim dividend:Bharti Airtel's Ugandan subsidiary, Airtel Uganda, declared an interim dividend of Ushs 174 billion for the first half of 2025, which amounts to Ushs 4.35 per share.

The payout was driven by strong financial performance, with a 28.7% increase in profit after tax and a 12.3% rise in revenue.

The company's improved performance and robust cash flow supported this dividend distribution and ongoing network investments."
